,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
0,2006-01-01,Sunday,45,41,50,19,73,promotion
1,2006-01-02,Monday,48,18,18,44,5,none
2,2006-01-03,Tuesday,1,40,99,41,8,none
3,2006-01-04,Wednesday,4,10,15,58,95,none
4,2006-01-05,Thursday,4,44,67,71,20,promotion
5,2006-01-06,Friday,40,27,104,39,76,promotion
6,2006-01-07,Saturday,10,21,10,26,5,none
7,2006-01-08,Sunday,20,58,59,74,68,promotion
8,2006-01-09,Monday,22,5,28,61,54,none
9,2006-01-10,Tuesday,37,43,76,72,67,promotion
10,2006-01-11,Wednesday,24,3,60,20,10,none
11,2006-01-12,Thursday,7,53,108,6,82,promotion
12,2006-01-13,Friday,25,40,48,7,29,none
13,2006-01-14,Saturday,25,20,118,28,97,promotion
14,2006-01-15,Sunday,13,53,48,26,95,promotion
15,2006-01-16,Monday,2,8,87,40,36,none
16,2006-01-17,Tuesday,39,32,33,22,69,none
17,2006-01-18,Wednesday,40,33,105,25,21,promotion
18,2006-01-19,Thursday,24,5,106,63,48,promotion
19,2006-01-20,Friday,47,53,54,50,95,promotion
20,2006-01-21,Saturday,25,28,5,52,30,none
21,2006-01-22,Sunday,18,25,30,14,37,none
22,2006-01-23,Monday,38,43,38,65,60,promotion
23,2006-01-24,Tuesday,26,56,43,20,37,none
24,2006-01-25,Wednesday,14,9,99,56,89,promotion
25,2006-01-26,Thursday,9,45,112,61,10,promotion
26,2006-01-27,Friday,10,54,103,74,79,promotion
27,2006-01-28,Saturday,21,27,22,40,52,none
28,2006-01-29,Sunday,17,39,23,56,5,none
29,2006-01-30,Monday,6,28,55,40,80,promotion
30,2006-01-31,Tuesday,16,35,63,59,10,none
31,2006-02-01,Wednesday,48,44,18,48,96,promotion
32,2006-02-02,Thursday,1,13,115,45,54,promotion
33,2006-02-03,Friday,19,48,4,16,92,none
34,2006-02-04,Saturday,36,9,19,44,20,none
35,2006-02-05,Sunday,25,41,70,55,38,promotion
36,2006-02-06,Monday,30,57,42,13,84,promotion
37,2006-02-07,Tuesday,20,46,35,4,18,none
38,2006-02-08,Wednesday,20,33,10,12,11,none
39,2006-02-09,Thursday,15,1,115,61,60,promotion
40,2006-02-10,Friday,40,48,116,33,15,promotion
41,2006-02-11,Saturday,33,18,93,2,61,promotion
42,2006-02-12,Sunday,2,13,33,64,49,none
43,2006-02-13,Monday,10,17,30,44,28,none
44,2006-02-14,Tuesday,33,54,97,24,83,promotion
45,2006-02-15,Wednesday,32,57,96,2,6,none
46,2006-02-16,Thursday,11,12,75,63,46,promotion
47,2006-02-17,Friday,24,16,10,56,5,none
48,2006-02-18,Saturday,36,29,22,51,41,none
49,2006-02-19,Sunday,12,52,62,35,99,promotion
50,2006-02-20,Monday,29,1,59,36,70,none
51,2006-02-21,Tuesday,35,47,56,65,10,promotion
52,2006-02-22,Wednesday,1,29,100,28,34,none
53,2006-02-23,Thursday,1,37,93,15,85,promotion
54,2006-02-24,Friday,37,19,10,10,41,none
55,2006-02-25,Saturday,6,18,49,12,88,none
56,2006-02-26,Sunday,39,26,43,31,44,none
57,2006-02-27,Monday,41,41,93,73,53,promotion
58,2006-02-28,Tuesday,18,26,70,19,80,promotion
59,2006-03-01,Wednesday,16,5,69,17,8,none
60,2006-03-02,Thursday,5,11,18,69,46,none
61,2006-03-03,Friday,42,34,49,15,39,none
62,2006-03-04,Saturday,43,23,113,12,49,promotion
63,2006-03-05,Sunday,32,34,65,2,25,none
64,2006-03-06,Monday,2,47,53,60,88,promotion
65,2006-03-07,Tuesday,2,19,5,72,70,none
66,2006-03-08,Wednesday,40,36,49,27,77,promotion
67,2006-03-09,Thursday,42,49,9,42,85,promotion
68,2006-03-10,Friday,36,21,104,42,13,promotion
69,2006-03-11,Saturday,39,6,50,49,93,promotion
70,2006-03-12,Sunday,12,59,89,69,36,promotion
71,2006-03-13,Monday,47,36,29,68,86,promotion
72,2006-03-14,Tuesday,19,48,58,3,6,none
73,2006-03-15,Wednesday,28,14,45,23,39,none
74,2006-03-16,Thursday,1,41,92,11,53,none
75,2006-03-17,Friday,15,40,108,45,82,promotion
76,2006-03-18,Saturday,36,31,39,7,56,none
77,2006-03-19,Sunday,13,12,69,38,66,none
78,2006-03-20,Monday,43,9,91,16,52,promotion
79,2006-03-21,Tuesday,21,58,25,66,13,none
80,2006-03-22,Wednesday,12,27,76,6,9,none
81,2006-03-23,Thursday,5,41,45,71,68,promotion
82,2006-03-24,Friday,7,32,26,27,62,none
83,2006-03-25,Saturday,5,27,55,9,37,none
84,2006-03-26,Sunday,48,51,53,73,14,promotion
85,2006-03-27,Monday,4,38,88,25,88,promotion
86,2006-03-28,Tuesday,13,20,92,49,72,promotion
87,2006-03-29,Wednesday,37,56,49,65,40,promotion
88,2006-03-30,Thursday,41,32,64,33,54,promotion
89,2006-03-31,Friday,15,7,21,60,95,none
90,2006-04-01,Saturday,16,52,20,66,37,none
91,2006-04-02,Sunday,21,38,61,32,47,none
92,2006-04-03,Monday,36,12,117,64,73,promotion
93,2006-04-04,Tuesday,24,16,12,25,75,none
94,2006-04-05,Wednesday,16,45,91,16,6,none
95,2006-04-06,Thursday,14,54,42,65,40,promotion
96,2006-04-07,Friday,22,5,42,24,3,none
97,2006-04-08,Saturday,49,36,7,59,20,none
98,2006-04-09,Sunday,6,51,98,72,58,promotion
99,2006-04-10,Monday,42,18,14,41,4,none
100,2006-04-11,Tuesday,36,45,116,42,56,promotion
101,2006-04-12,Wednesday,1,26,3,57,89,none
102,2006-04-13,Thursday,32,55,46,23,75,promotion
103,2006-04-14,Friday,6,59,73,44,87,promotion
104,2006-04-15,Saturday,31,13,30,61,2,none
105,2006-04-16,Sunday,1,1,86,15,20,none
106,2006-04-17,Monday,37,33,113,38,29,promotion
107,2006-04-18,Tuesday,35,7,96,41,30,promotion
108,2006-04-19,Wednesday,49,36,55,34,98,promotion
109,2006-04-20,Thursday,30,42,56,33,23,none
110,2006-04-21,Friday,4,41,73,60,8,none
111,2006-04-22,Saturday,35,20,51,29,9,none
112,2006-04-23,Sunday,43,36,48,48,42,promotion
113,2006-04-24,Monday,14,30,57,74,94,promotion
114,2006-04-25,Tuesday,49,43,103,63,84,promotion
115,2006-04-26,Wednesday,40,24,85,26,23,none
116,2006-04-27,Thursday,22,26,25,34,73,none
117,2006-04-28,Friday,10,21,93,35,50,promotion
