REST_KEY,Rest Coop,Reporting Day,Daypart Name,Daypart Description,Daypart Sales $,Daypart Transaction Qty
1364,SEA/TCA WA CP-0024,1/2/10,After 4PM,4PM - Close,1529.84,235
1364,SEA/TCA WA CP-0024,1/2/10,Afternoon,2PM - 4PM,539.2,75
1364,SEA/TCA WA CP-0024,1/2/10,Breakfast,Open - 10:30AM (11AM weekend),1027.4,180
1364,SEA/TCA WA CP-0024,1/2/10,Dinner,4PM - 9PM,957.24,156
1364,SEA/TCA WA CP-0024,1/2/10,Evening,9PM - Close,572.6,79
1364,SEA/TCA WA CP-0024,1/2/10,Late Night,11PM - 5AM,222.55,31
1364,SEA/TCA WA CP-0024,1/2/10,Lunch,11AM -  2PM,950.53,159
1364,SEA/TCA WA CP-0024,1/2/10,Morning,Open - 11AM,1027.4,180
1364,SEA/TCA WA CP-0024,1/2/10,Regular Menu,10:30AM (11AM weekend) - Close,3019.57,469
1364,SEA/TCA WA CP-0024,1/2/10,Total Day,All hours,4046.97,649
1364,SEA/TCA WA CP-0024,1/3/10,After 4PM,4PM - Close,1397.96,198
1364,SEA/TCA WA CP-0024,1/3/10,Afternoon,2PM - 4PM,613.56,83
1364,SEA/TCA WA CP-0024,1/3/10,Breakfast,Open - 10:30AM (11AM weekend),971.19,169
1364,SEA/TCA WA CP-0024,1/3/10,Dinner,4PM - 9PM,1138.37,157
1364,SEA/TCA WA CP-0024,1/3/10,Evening,9PM - Close,259.59,41
1364,SEA/TCA WA CP-0024,1/3/10,Late Night,11PM - 5AM,48.15,9
1364,SEA/TCA WA CP-0024,1/3/10,Lunch,11AM -  2PM,909.53,133
1364,SEA/TCA WA CP-0024,1/3/10,Morning,Open - 11AM,971.19,169
1364,SEA/TCA WA CP-0024,1/3/10,Regular Menu,10:30AM (11AM weekend) - Close,2921.05,414
1364,SEA/TCA WA CP-0024,1/3/10,Total Day,All hours,3892.24,583
1364,SEA/TCA WA CP-0024,1/4/10,After 4PM,4PM - Close,1583.05,244
1364,SEA/TCA WA CP-0024,1/4/10,Afternoon,2PM - 4PM,497.62,90
1364,SEA/TCA WA CP-0024,1/4/10,Breakfast,Open - 10:30AM (11AM weekend),817.03,211
1364,SEA/TCA WA CP-0024,1/4/10,Dinner,4PM - 9PM,1248.88,187
1364,SEA/TCA WA CP-0024,1/4/10,Evening,9PM - Close,334.17,57
1364,SEA/TCA WA CP-0024,1/4/10,Late Night,11PM - 5AM,65.43,10
1364,SEA/TCA WA CP-0024,1/4/10,Lunch,11AM -  2PM,869.66,162
1364,SEA/TCA WA CP-0024,1/4/10,Morning,Open - 11AM,858.89,222
1364,SEA/TCA WA CP-0024,1/4/10,Regular Menu,10:30AM (11AM weekend) - Close,2992.19,507
1364,SEA/TCA WA CP-0024,1/4/10,Total Day,All hours,3809.22,718
1364,SEA/TCA WA CP-0024,1/5/10,After 4PM,4PM - Close,1674.46,254
1364,SEA/TCA WA CP-0024,1/5/10,Afternoon,2PM - 4PM,480.8,103
1364,SEA/TCA WA CP-0024,1/5/10,Breakfast,Open - 10:30AM (11AM weekend),923.24,214
1364,SEA/TCA WA CP-0024,1/5/10,Dinner,4PM - 9PM,1313.03,200
1364,SEA/TCA WA CP-0024,1/5/10,Evening,9PM - Close,361.43,54
1364,SEA/TCA WA CP-0024,1/5/10,Late Night,11PM - 5AM,38.15,8
1364,SEA/TCA WA CP-0024,1/5/10,Lunch,11AM -  2PM,927.75,163
1364,SEA/TCA WA CP-0024,1/5/10,Morning,Open - 11AM,996.56,227
1364,SEA/TCA WA CP-0024,1/5/10,Regular Menu,10:30AM (11AM weekend) - Close,3156.33,533
1364,SEA/TCA WA CP-0024,1/5/10,Total Day,All hours,4079.57,747
1364,SEA/TCA WA CP-0024,1/6/10,After 4PM,4PM - Close,1676.32,252
1364,SEA/TCA WA CP-0024,1/6/10,Afternoon,2PM - 4PM,563.52,103
1364,SEA/TCA WA CP-0024,1/6/10,Breakfast,Open - 10:30AM (11AM weekend),875.29,226
1364,SEA/TCA WA CP-0024,1/6/10,Dinner,4PM - 9PM,1375.17,205
1364,SEA/TCA WA CP-0024,1/6/10,Evening,9PM - Close,301.15,47
1364,SEA/TCA WA CP-0024,1/6/10,Late Night,11PM - 5AM,108.03,15
1364,SEA/TCA WA CP-0024,1/6/10,Lunch,11AM -  2PM,919.92,167
1364,SEA/TCA WA CP-0024,1/6/10,Morning,Open - 11AM,982.42,247
1364,SEA/TCA WA CP-0024,1/6/10,Regular Menu,10:30AM (11AM weekend) - Close,3266.89,543
1364,SEA/TCA WA CP-0024,1/6/10,Total Day,All hours,4142.18,769
1364,SEA/TCA WA CP-0024,1/7/10,After 4PM,4PM - Close,1719.84,280
1364,SEA/TCA WA CP-0024,1/7/10,Afternoon,2PM - 4PM,625.23,110
1364,SEA/TCA WA CP-0024,1/7/10,Breakfast,Open - 10:30AM (11AM weekend),977.48,228
1364,SEA/TCA WA CP-0024,1/7/10,Dinner,4PM - 9PM,1399.89,214
1364,SEA/TCA WA CP-0024,1/7/10,Evening,9PM - Close,319.95,66
1364,SEA/TCA WA CP-0024,1/7/10,Late Night,11PM - 5AM,41.97,11
1364,SEA/TCA WA CP-0024,1/7/10,Lunch,11AM -  2PM,980.1,182
1364,SEA/TCA WA CP-0024,1/7/10,Morning,Open - 11AM,1066.73,245
1364,SEA/TCA WA CP-0024,1/7/10,Regular Menu,10:30AM (11AM weekend) - Close,3414.42,589
1364,SEA/TCA WA CP-0024,1/7/10,Total Day,All hours,4391.9,817
1364,SEA/TCA WA CP-0024,1/8/10,After 4PM,4PM - Close,2070.96,326
1364,SEA/TCA WA CP-0024,1/8/10,Afternoon,2PM - 4PM,518.13,96
1364,SEA/TCA WA CP-0024,1/8/10,Breakfast,Open - 10:30AM (11AM weekend),1039.87,225
1364,SEA/TCA WA CP-0024,1/8/10,Dinner,4PM - 9PM,1506.81,233
1364,SEA/TCA WA CP-0024,1/8/10,Evening,9PM - Close,564.15,93
1364,SEA/TCA WA CP-0024,1/8/10,Late Night,11PM - 5AM,167.64,30
1364,SEA/TCA WA CP-0024,1/8/10,Lunch,11AM -  2PM,1116.62,188
1364,SEA/TCA WA CP-0024,1/8/10,Morning,Open - 11AM,1095.92,239
1364,SEA/TCA WA CP-0024,1/8/10,Regular Menu,10:30AM (11AM weekend) - Close,3761.76,624
1364,SEA/TCA WA CP-0024,1/8/10,Total Day,All hours,4801.63,849
1364,SEA/TCA WA CP-0024,1/9/10,After 4PM,4PM - Close,1879.94,285
1364,SEA/TCA WA CP-0024,1/9/10,Afternoon,2PM - 4PM,763.08,125
1364,SEA/TCA WA CP-0024,1/9/10,Breakfast,Open - 10:30AM (11AM weekend),1178.45,222
1364,SEA/TCA WA CP-0024,1/9/10,Dinner,4PM - 9PM,1357.65,206
1364,SEA/TCA WA CP-0024,1/9/10,Evening,9PM - Close,522.29,79
1364,SEA/TCA WA CP-0024,1/9/10,Late Night,11PM - 5AM,150.19,27
1364,SEA/TCA WA CP-0024,1/9/10,Lunch,11AM -  2PM,1427.67,205
1364,SEA/TCA WA CP-0024,1/9/10,Morning,Open - 11AM,1178.45,222
1364,SEA/TCA WA CP-0024,1/9/10,Regular Menu,10:30AM (11AM weekend) - Close,4070.69,615
1364,SEA/TCA WA CP-0024,1/9/10,Total Day,All hours,5249.14,837
1364,SEA/TCA WA CP-0024,1/10/10,After 4PM,4PM - Close,1377.96,221
1364,SEA/TCA WA CP-0024,1/10/10,Afternoon,2PM - 4PM,675.28,105
1364,SEA/TCA WA CP-0024,1/10/10,Breakfast,Open - 10:30AM (11AM weekend),923.72,174
1364,SEA/TCA WA CP-0024,1/10/10,Dinner,4PM - 9PM,1160.37,179
1364,SEA/TCA WA CP-0024,1/10/10,Evening,9PM - Close,217.59,42
1364,SEA/TCA WA CP-0024,1/10/10,Late Night,11PM - 5AM,44.6,9
1364,SEA/TCA WA CP-0024,1/10/10,Lunch,11AM -  2PM,1235.05,164
1364,SEA/TCA WA CP-0024,1/10/10,Morning,Open - 11AM,923.72,174
1364,SEA/TCA WA CP-0024,1/10/10,Regular Menu,10:30AM (11AM weekend) - Close,3288.29,490
1364,SEA/TCA WA CP-0024,1/10/10,Total Day,All hours,4212.01,664
1364,SEA/TCA WA CP-0024,1/11/10,After 4PM,4PM - Close,1445.47,238
1364,SEA/TCA WA CP-0024,1/11/10,Afternoon,2PM - 4PM,464.45,97
1364,SEA/TCA WA CP-0024,1/11/10,Breakfast,Open - 10:30AM (11AM weekend),733.17,185
1364,SEA/TCA WA CP-0024,1/11/10,Dinner,4PM - 9PM,1143.01,188
1364,SEA/TCA WA CP-0024,1/11/10,Evening,9PM - Close,302.46,50
1364,SEA/TCA WA CP-0024,1/11/10,Late Night,11PM - 5AM,15.25,3
1364,SEA/TCA WA CP-0024,1/11/10,Lunch,11AM -  2PM,808.02,142
1364,SEA/TCA WA CP-0024,1/11/10,Morning,Open - 11AM,778.2,194
1364,SEA/TCA WA CP-0024,1/11/10,Regular Menu,10:30AM (11AM weekend) - Close,2762.97,486
1364,SEA/TCA WA CP-0024,1/11/10,Total Day,All hours,3496.14,671
1364,SEA/TCA WA CP-0024,1/12/10,After 4PM,4PM - Close,1332.95,236
1364,SEA/TCA WA CP-0024,1/12/10,Afternoon,2PM - 4PM,593.23,117
1364,SEA/TCA WA CP-0024,1/12/10,Breakfast,Open - 10:30AM (11AM weekend),753,186
1364,SEA/TCA WA CP-0024,1/12/10,Dinner,4PM - 9PM,1070.08,185
1364,SEA/TCA WA CP-0024,1/12/10,Evening,9PM - Close,262.87,51
1364,SEA/TCA WA CP-0024,1/12/10,Late Night,11PM - 5AM,26.68,8
1364,SEA/TCA WA CP-0024,1/12/10,Lunch,11AM -  2PM,872.5,161
1364,SEA/TCA WA CP-0024,1/12/10,Morning,Open - 11AM,818.31,204
1364,SEA/TCA WA CP-0024,1/12/10,Regular Menu,10:30AM (11AM weekend) - Close,2863.99,532
1364,SEA/TCA WA CP-0024,1/12/10,Total Day,All hours,3616.99,718
1364,SEA/TCA WA CP-0024,1/13/10,After 4PM,4PM - Close,1723.01,288
1364,SEA/TCA WA CP-0024,1/13/10,Afternoon,2PM - 4PM,574.07,105
1364,SEA/TCA WA CP-0024,1/13/10,Breakfast,Open - 10:30AM (11AM weekend),735.42,191
1364,SEA/TCA WA CP-0024,1/13/10,Dinner,4PM - 9PM,1332.77,224
1364,SEA/TCA WA CP-0024,1/13/10,Evening,9PM - Close,390.24,64
1364,SEA/TCA WA CP-0024,1/13/10,Late Night,11PM - 5AM,53.71,10
1364,SEA/TCA WA CP-0024,1/13/10,Lunch,11AM -  2PM,956.23,176
1364,SEA/TCA WA CP-0024,1/13/10,Morning,Open - 11AM,789.98,205
1364,SEA/TCA WA CP-0024,1/13/10,Regular Menu,10:30AM (11AM weekend) - Close,3307.87,583
1364,SEA/TCA WA CP-0024,1/13/10,Total Day,All hours,4043.29,774
