Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,05/02/2010,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,False
1,12/02/2010,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.24216980000003,8.106,True
1,19/02/2010,39.93,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,False
1,26/02/2010,46.63,2.5610000000000004,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,False
1,05/03/2010,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,False
1,12/03/2010,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.3806429,8.106,False
1,19/03/2010,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.21563500000002,8.106,False
1,26/03/2010,51.45,2.7319999999999998,0.0,0.0,0.0,0.0,0.0,211.0180424,8.106,False
1,02/04/2010,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.82044989999997,7.808,False
1,09/04/2010,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.62285740000002,7.808,False
1,16/04/2010,66.32,2.8080000000000003,0.0,0.0,0.0,0.0,0.0,210.4887,7.808,False
1,23/04/2010,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.4391228,7.808,False
1,30/04/2010,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.3895456,7.808,False
1,07/05/2010,72.55,2.835,0.0,0.0,0.0,0.0,0.0,210.33996839999998,7.808,False
1,14/05/2010,74.78,2.8539999999999996,0.0,0.0,0.0,0.0,0.0,210.3374261,7.808,False
1,21/05/2010,76.44,2.826,0.0,0.0,0.0,0.0,0.0,210.6170934,7.808,False
1,28/05/2010,80.44,2.759,0.0,0.0,0.0,0.0,0.0,210.89676060000002,7.808,False
1,04/06/2010,80.69,2.705,0.0,0.0,0.0,0.0,0.0,211.1764278,7.808,False
1,11/06/2010,80.43,2.668,0.0,0.0,0.0,0.0,0.0,211.4560951,7.808,False
1,18/06/2010,84.11,2.637,0.0,0.0,0.0,0.0,0.0,211.4537719,7.808,False
1,25/06/2010,84.34,2.653,0.0,0.0,0.0,0.0,0.0,211.33865260000002,7.808,False
1,02/07/2010,80.91,2.6689999999999996,0.0,0.0,0.0,0.0,0.0,211.2235333,7.787000000000001,False
1,09/07/2010,80.48,2.642,0.0,0.0,0.0,0.0,0.0,211.108414,7.787000000000001,False
1,16/07/2010,83.15,2.623,0.0,0.0,0.0,0.0,0.0,211.10038540000002,7.787000000000001,False
1,23/07/2010,83.36,2.608,0.0,0.0,0.0,0.0,0.0,211.2351443,7.787000000000001,False
1,30/07/2010,81.84,2.64,0.0,0.0,0.0,0.0,0.0,211.36990319999995,7.787000000000001,False
1,06/08/2010,87.16,2.627,0.0,0.0,0.0,0.0,0.0,211.5046621,7.787000000000001,False
1,13/08/2010,87.0,2.6919999999999997,0.0,0.0,0.0,0.0,0.0,211.63942110000002,7.787000000000001,False
1,20/08/2010,86.65,2.6639999999999997,0.0,0.0,0.0,0.0,0.0,211.60336329999998,7.787000000000001,False
1,27/08/2010,85.22,2.6189999999999998,0.0,0.0,0.0,0.0,0.0,211.5673056,7.787000000000001,False
1,03/09/2010,81.21,2.577,0.0,0.0,0.0,0.0,0.0,211.53124790000004,7.787000000000001,False
1,10/09/2010,78.69,2.565,0.0,0.0,0.0,0.0,0.0,211.49519019999997,7.787000000000001,True
1,17/09/2010,82.11,2.582,0.0,0.0,0.0,0.0,0.0,211.5224596,7.787000000000001,False
1,24/09/2010,80.94,2.6239999999999997,0.0,0.0,0.0,0.0,0.0,211.59722459999998,7.787000000000001,False
1,01/10/2010,71.89,2.603,0.0,0.0,0.0,0.0,0.0,211.6719895,7.837999999999999,False
1,08/10/2010,63.93,2.633,0.0,0.0,0.0,0.0,0.0,211.74675440000001,7.837999999999999,False
1,15/10/2010,67.18,2.72,0.0,0.0,0.0,0.0,0.0,211.81374359999998,7.837999999999999,False
1,22/10/2010,69.86,2.725,0.0,0.0,0.0,0.0,0.0,211.8612937,7.837999999999999,False
1,29/10/2010,69.64,2.716,0.0,0.0,0.0,0.0,0.0,211.9088438,7.837999999999999,False
1,05/11/2010,58.74,2.6889999999999996,0.0,0.0,0.0,0.0,0.0,211.95639390000002,7.837999999999999,False
1,12/11/2010,59.61,2.728,0.0,0.0,0.0,0.0,0.0,212.003944,7.837999999999999,False
1,19/11/2010,51.41,2.7710000000000004,0.0,0.0,0.0,0.0,0.0,211.88967369999997,7.837999999999999,False
1,26/11/2010,64.52,2.735,0.0,0.0,0.0,0.0,0.0,211.74843330000002,7.837999999999999,True
1,03/12/2010,49.27,2.708,0.0,0.0,0.0,0.0,0.0,211.60719300000002,7.837999999999999,False
1,10/12/2010,46.33,2.843,0.0,0.0,0.0,0.0,0.0,211.4659526,7.837999999999999,False
1,17/12/2010,49.84,2.8689999999999998,0.0,0.0,0.0,0.0,0.0,211.40531239999999,7.837999999999999,False
1,24/12/2010,52.33,2.886,0.0,0.0,0.0,0.0,0.0,211.4051222,7.837999999999999,False
1,31/12/2010,48.43,2.943,0.0,0.0,0.0,0.0,0.0,211.4049321,7.837999999999999,True
1,07/01/2011,48.27,2.9760000000000004,0.0,0.0,0.0,0.0,0.0,211.40474190000003,7.742000000000001,False
1,14/01/2011,35.4,2.983,0.0,0.0,0.0,0.0,0.0,211.4574109,7.742000000000001,False
1,21/01/2011,44.04,3.016,0.0,0.0,0.0,0.0,0.0,211.82723430000004,7.742000000000001,False
1,28/01/2011,43.83,3.01,0.0,0.0,0.0,0.0,0.0,212.19705770000002,7.742000000000001,False
1,04/02/2011,42.27,2.989,0.0,0.0,0.0,0.0,0.0,212.56688119999998,7.742000000000001,False
1,11/02/2011,36.39,3.022,0.0,0.0,0.0,0.0,0.0,212.9367046,7.742000000000001,True
1,18/02/2011,57.36,3.045,0.0,0.0,0.0,0.0,0.0,213.2478853,7.742000000000001,False
1,25/02/2011,62.9,3.065,0.0,0.0,0.0,0.0,0.0,213.535609,7.742000000000001,False
1,04/03/2011,59.58,3.2880000000000003,0.0,0.0,0.0,0.0,0.0,213.8233327,7.742000000000001,False
1,11/03/2011,53.56,3.4589999999999996,0.0,0.0,0.0,0.0,0.0,214.11105640000002,7.742000000000001,False
1,18/03/2011,62.76,3.488,0.0,0.0,0.0,0.0,0.0,214.3627114,7.742000000000001,False
1,25/03/2011,69.97,3.4730000000000003,0.0,0.0,0.0,0.0,0.0,214.59993889999998,7.742000000000001,False
1,01/04/2011,59.17,3.5239999999999996,0.0,0.0,0.0,0.0,0.0,214.8371664,7.682,False
1,08/04/2011,67.84,3.622,0.0,0.0,0.0,0.0,0.0,215.07439390000002,7.682,False
1,15/04/2011,71.27,3.7430000000000003,0.0,0.0,0.0,0.0,0.0,215.29185609999996,7.682,False
1,22/04/2011,72.99,3.807,0.0,0.0,0.0,0.0,0.0,215.45990530000003,7.682,False
1,29/04/2011,72.03,3.81,0.0,0.0,0.0,0.0,0.0,215.62795440000002,7.682,False
1,06/05/2011,64.61,3.906,0.0,0.0,0.0,0.0,0.0,215.7960035,7.682,False
1,13/05/2011,75.64,3.8989999999999996,0.0,0.0,0.0,0.0,0.0,215.9640526,7.682,False
1,20/05/2011,67.63,3.907,0.0,0.0,0.0,0.0,0.0,215.7339202,7.682,False
1,27/05/2011,77.72,3.786,0.0,0.0,0.0,0.0,0.0,215.5037878,7.682,False
1,03/06/2011,83.0,3.699,0.0,0.0,0.0,0.0,0.0,215.27365530000003,7.682,False
1,10/06/2011,83.13,3.648,0.0,0.0,0.0,0.0,0.0,215.04352290000003,7.682,False
1,17/06/2011,86.41,3.637,0.0,0.0,0.0,0.0,0.0,214.99805959999998,7.682,False
1,24/06/2011,83.58,3.594,0.0,0.0,0.0,0.0,0.0,215.09109819999998,7.682,False
1,01/07/2011,85.55,3.5239999999999996,0.0,0.0,0.0,0.0,0.0,215.18413680000003,7.962000000000001,False
1,08/07/2011,85.83,3.48,0.0,0.0,0.0,0.0,0.0,215.27717540000003,7.962000000000001,False
1,15/07/2011,88.54,3.575,0.0,0.0,0.0,0.0,0.0,215.3611087,7.962000000000001,False
1,22/07/2011,85.77,3.6510000000000002,0.0,0.0,0.0,0.0,0.0,215.4222784,7.962000000000001,False
