DT_max_depth,Adr_n_estimator,R-square,RMSE
3,50,0.8796,48919831756.0
3,10,0.8855,46503427490.0
3,20,0.8843,46990946697.0
3,30,0.8796,48912946854.0
3,40,0.8786,49317020811.0
3,60,0.8796,48919831756.0
3,70,0.8796,48919831756.0
3,80,0.8796,48919831756.0
3,90,0.8796,48919831756.0
3,100,0.8796,48919831756.0
3,110,0.8796,48919831756.0
3,120,0.8796,48919831756.0
3,130,0.8796,48919831756.0
3,140,0.8796,48919831756.0
3,150,0.8796,48919831756.0
4,10,0.8498,61009362831.0
4,20,0.8731,51555379756.0
4,30,0.8722,51921027651.0
4,40,0.862,56057609113.0
4,50,0.8414,64421017677.0
4,60,0.8427,63907211871.0
4,70,0.8431,63745289943.0
4,80,0.8431,63745289943.0
4,90,0.8431,63745289943.0
4,100,0.8431,63745289943.0
4,110,0.8431,63745289943.0
4,120,0.8431,63745289943.0
4,130,0.8431,63745289943.0
4,140,0.8431,63745289943.0
4,150,0.8431,63745289943.0
5,10,0.8377,65955030327.0
5,20,0.8567,58208446834.0
5,30,0.8549,58951589108.0
5,40,0.8648,54926931791.0
5,50,0.8705,52601474104.0
5,60,0.8565,58314709069.0
5,70,0.858,57684189581.0
5,80,0.8596,57042013863.0
5,90,0.8607,56588819778.0
5,100,0.8623,55952732829.0
5,110,0.8583,57564524171.0
5,120,0.8592,57205108336.0
5,130,0.8547,59053320796.0
5,140,0.8569,58155245585.0
5,150,0.8415,64382520694.0
6,10,0.8645,55060219888.0
6,20,0.8456,62722660385.0
6,30,0.8442,63289325195.0
6,40,0.8418,64273834189.0
6,50,0.8435,63571896550.0
6,60,0.8547,59023736566.0
6,70,0.8582,57628509674.0
6,80,0.859,57279005227.0
6,90,0.8562,58413346339.0
6,100,0.8537,59438599210.0
6,110,0.8532,59647223708.0
6,120,0.8561,58470232230.0
6,130,0.8541,59295307439.0
6,140,0.856,58508020316.0
6,150,0.8583,57584053313.0
7,10,0.8379,65858431447.0
7,20,0.8251,71081797877.0
7,30,0.8316,68431034564.0
7,40,0.8358,66727866927.0
7,50,0.836,66632049244.0
7,60,0.8361,66607095899.0
7,70,0.8342,67351178713.0
7,80,0.8336,67612940884.0
7,90,0.8331,67800551347.0
7,100,0.8317,68364661570.0
7,110,0.8327,67982568452.0
7,120,0.8316,68405480922.0
7,130,0.8294,69303621766.0
7,140,0.8297,69190836442.0
7,150,0.8294,69318335381.0
8,10,0.8539,59351576288.0
8,20,0.8443,63252250743.0
8,30,0.8331,67808161387.0
8,40,0.8318,68330426869.0
8,50,0.8278,69952421378.0
8,60,0.8263,70586421118.0
8,70,0.8257,70826644285.0
8,80,0.8258,70778990623.0
8,90,0.824,71528714439.0
8,100,0.824,71499163880.0
8,110,0.8239,71568434920.0
8,120,0.8236,71661870895.0
8,130,0.8241,71454669740.0
8,140,0.8231,71884340155.0
8,150,0.8241,71476204812.0
9,10,0.8297,69204643318.0
9,20,0.8442,63290823766.0
9,30,0.8587,57415469151.0
9,40,0.8586,57440217297.0
9,50,0.8546,59061693443.0
9,60,0.8552,58835387358.0
9,70,0.8542,59225277881.0
9,80,0.8551,58880488278.0
9,90,0.855,58908551521.0
9,100,0.85,60953129942.0
9,110,0.8554,58738402743.0
9,120,0.8549,58938744568.0
9,130,0.8283,69760347158.0
9,140,0.8291,69431518196.0
9,150,0.8548,58993430208.0
10,10,0.8179,73993130654.0
10,20,0.8224,72170112556.0
10,30,0.8224,72156879276.0
10,40,0.8224,72174901906.0
10,50,0.8224,72165344858.0
10,60,0.8233,71786912517.0
10,70,0.8232,71840612383.0
10,80,0.8246,71270308224.0
10,90,0.8519,60180096715.0
10,100,0.8249,71156260837.0
10,110,0.8253,70991405095.0
10,120,0.8261,70650927469.0
10,130,0.8257,70816318686.0
10,140,0.8256,70858156849.0
10,150,0.8266,70451604759.0
15,10,0.839,65429102712.0
15,20,0.8306,68824834039.0
15,30,0.8474,62020817821.0
15,40,0.8221,72271286806.0
15,50,0.8221,72278670368.0
15,60,0.848,61744673301.0
15,70,0.8487,61485463819.0
15,80,0.8485,61571211425.0
15,90,0.8489,61404816850.0
15,100,0.8491,61314322116.0
15,110,0.8475,61958983036.0
15,120,0.8517,60250989790.0
15,130,0.8551,58891202768.0
15,140,0.852,60125639712.0
15,150,0.8473,62043075404.0
20,10,0.84,64988873928.0
20,20,0.8387,65537067479.0
20,30,0.8283,69750123559.0
20,40,0.8216,72491192172.0
20,50,0.8222,72251416250.0
20,60,0.8256,70840595191.0
20,70,0.8503,60805278320.0
20,80,0.8504,60799982321.0
20,90,0.8514,60371256236.0
20,100,0.8505,60734741040.0
20,110,0.8516,60277718779.0
20,120,0.8254,70928747291.0
20,130,0.8253,70989859946.0
20,140,0.8254,70939873089.0
20,150,0.8255,70906209480.0
25,10,0.84,64988873928.0
25,20,0.8387,65537067479.0
25,30,0.8283,69750123559.0
25,40,0.8216,72491192172.0
25,50,0.8222,72251416250.0
25,60,0.8256,70840595191.0
25,70,0.8503,60805278320.0
25,80,0.8504,60799982321.0
25,90,0.8514,60371256236.0
25,100,0.8505,60734741040.0
25,110,0.8516,60277718779.0
25,120,0.8254,70928747291.0
25,130,0.8253,70989859946.0
25,140,0.8254,70939873089.0
25,150,0.8255,70906209480.0
30,10,0.84,64988873928.0
30,20,0.8387,65537067479.0
30,30,0.8283,69750123559.0
30,40,0.8216,72491192172.0
30,50,0.8222,72251416250.0
30,60,0.8256,70840595191.0
